title,bestRating,ratingValue,ratingCount,country,date,budget,actors,link,ratingValue_qcut
Во всё тяжкое,10.0,7.307,294929.0,США,2018.0,,"['Джонни Депп', 'Розмари ДеУитт', 'Одесса Янг', 'Дэнни Хьюстон', 'Зои Дойч', 'Девон Террелл', 'Рон Ливингстон', 'Линда Эмонд', 'Матрея Скаррвинер', 'Шиван Фэллон']",/film/1047881/,
Общество мертвых поэтов,10.0,8.236,197780.0,США,1989.0,"(16400000, '$')","['Робин Уильямс', 'Роберт Шон Леонард', 'Итан Хоук', 'Джош Чарльз', 'Гейл Хэнсен', 'Дилан Кассман', 'Аллелон Руджеро', 'Джеймс Уотерстон', 'Норман Ллойд', 'Кертвуд Смит']",/film/4996/,
Неадекватные люди,10.0,7.663,177563.0,Россия,2010.0,"(100000, '$')",,/film/542581/,
Славные парни,10.0,8.123,189006.0,США,1990.0,"(25000000, '$')","['Роберт Де Ниро', 'Рэй Лиотта', 'Джо Пеши', 'Лоррейн Бракко', 'Пол Сорвино', 'Фрэнк Сиверо', 'Тони Дарроу', 'Майк Старр', 'Фрэнк Винсент', 'Чак Лоу']",/film/350/,
Левша,10.0,7.463,165860.0,Гонконг,2015.0,"(30000000, '$')","['Джейк Джилленхол', 'Рэйчел Макадамс', 'Форест Уитакер', 'Уна Лоуренс', 'Фифти Сент', 'Скайлан Брукс', 'Наоми Харрис', 'Виктор Ортис', 'Бо Напп', 'Мигель Гомес']",/film/573990/,
Мимино,10.0,8.132,158493.0,СССР,1977.0,,,/film/46638/,
Чтец,10.0,7.951,160000.0,Германия,2008.0,"(32000000, '$')","['Рэйф Файнс', 'Кейт Уинслет', 'Давид Кросс', 'Бруно Ганц', 'Бургхарт Клаусснер', 'Лена Олин', 'Каролина Херфурт', 'Ханна Херцшпрунг', 'Жанетт Хайн', 'Сюзанна Лотар']",/film/325439/,
Хорошо быть тихоней,10.0,7.529,145913.0,США,2012.0,"(13000000, '$')","['Логан Лерман', 'Эмма Уотсон', 'Эзра Миллер', 'Нина Добрев', 'Дилан МакДермотт', 'Кейт Уолш', 'Пол Радд', 'Мэй Уитман', 'Адам Хэгенбуч', 'Джонни Симмонс']",/film/523248/,
Шаг вперед,10.0,7.608,144115.0,США,2006.0,"(12000000, '$')","['Ченнинг Татум', 'Дженна Дуан', 'Дэмейн Рэдклифф', 'Ди’Шон Вашингтон', 'Марио', 'Дрю Сидора', 'Рэйчел Гриффитс', 'Джош Хендерсон', 'Тим Лакатена', 'Элисон Стоунер']",/film/167491/,
Капернаум,10.0,8.144,153367.0,Великобритания,2018.0,"(4000000, '$')","['Зейн Аль Раффеа', 'Йорданос Шифероу', 'Болуватифе Трэжа Банкоул', 'Кавсар Аль Хаддад', 'Фади Юзеф', 'Хаита «Седра» Иззам', 'Алаа Чучнье', 'Елиас Хури']",/film/1118042/,
Вам и не снилось...,10.0,8.23,144382.0,СССР,1980.0,,,/film/45660/,
В центре внимания,10.0,7.589,137169.0,США,2015.0,"(20000000, '$')","['Марк Руффало', 'Майкл Китон', 'Рэйчел Макадамс', 'Лив Шрайбер', 'Джон Слэттери', 'Стэнли Туччи', 'Брайан Д’Арси Джеймс', 'Елена Стайтелер', 'Джин Аморозо', 'Даг Мюррэй']",/film/834394/,
Сестрёнка,10.0,8.283,139357.0,Россия,2019.0,,,/film/1178267/,
Лев,10.0,8.007,130748.0,Индия,2016.0,"(12000000, '$')","['Дев Патель', 'Николь Кидман', 'Руни Мара', 'Дэвид Уэнэм', 'Санни Павар', 'Абхишек Бхарате', 'Приянка Бозе', 'Кхуши Соланки', 'Шанкар Нисоде', 'Танништа Чаттерджи']",/film/864138/,
12 разгневанных мужчин,10.0,8.519,124765.0,США,1956.0,"(340000, '$')","['Генри Фонда', 'Мартин Болсам', 'Ли Дж. Кобб', 'Джозеф Суини', 'Эд Бегли', 'Джордж Восковек', 'Джон Фидлер', 'Э. Г. Маршалл', 'Джек Клагмен', 'Эд Биннс']",/film/346/,
Весна на Заречной улице,10.0,7.968,123508.0,СССР,1956.0,,,/film/45748/,
Холодное лето пятьдесят третьего...,10.0,8.128,108035.0,СССР,1987.0,,,/film/7660/,
Прошлой ночью в Сохо,10.0,6.865,120585.0,Китай,2021.0,,"['Томасин Маккензи', 'Аня Тейлор-Джой', 'Мэтт Смит', 'Теренс Стэмп', 'Дайана Ригг', 'Рита Ташингэм', 'Айми Кассеттари', 'Колин Мейс', 'Майкл Аджао', 'Синнёве Карлсен']",/film/1236583/,
Рокки,10.0,8.019,121630.0,США,1976.0,"(1100000, '$')","['Сильвестр Сталлоне', 'Талия Шайр', 'Берт Янг', 'Карл Уэзерс', 'Бёрджесс Мередит', 'Тэйер Дэвид', 'Джо Спинелл', 'Джимми Гамбина', 'Билл Болдуин', 'Аль Сильвани']",/film/6462/,
Парни со стволами,10.0,6.916,124247.0,Румыния,2016.0,"(40000000, '$')","['Майлз Теллер', 'Джона Хилл', 'Ана де Армас', 'Кевин Поллак', 'Брэдли Купер', 'Джейби Бланк', 'Патрик Ст. Эсприт', 'Шон Тоуб', 'Эдди Джемисон', 'Дэниэл Берсон']",/film/602749/,
Адмиралъ,10.0,7.029,108244.0,Россия,2008.0,"(20000000, '$')",['Ришар Боринже'],/film/280938/,
"Влюбись в меня, если осмелишься",10.0,7.7,126424.0,Бельгия,2003.0,,"['Гийом Кане', 'Марион Котийяр', 'Тибо Верхак', 'Жозефин Леба-Жоли', 'Эммануэль Грёнвольд', 'Жерар Уоткинс', 'Жиль Леллуш', 'Жюлия Фор', 'Литиция Венеция Тарновска', 'Элоди Наварр']",/film/63920/,
Фаворитка,10.0,7.277,112040.0,США,2018.0,"(15000000, '$')","['Оливия Колман', 'Рэйчел Вайс', 'Эмма Стоун', 'Николас Холт', 'Джо Элвин', 'Марк Гэтисс', 'Эмма Делвс', 'Фэй Дейвни', 'Пол Суэйн', 'Дженнифер Уайт']",/film/938644/,
Афера по-американски,10.0,6.917,115401.0,Китай,2013.0,"(40000000, '$')","['Кристиан Бэйл', 'Эми Адамс', 'Брэдли Купер', 'Дженнифер Лоуренс', 'Джереми Реннер', 'Луис С.К.', 'Алессандро Нивола', 'Джек Хьюстон', 'Роберт Де Ниро', 'Майкл Пенья']",/film/635177/,
Призрачная красота,10.0,7.152,130460.0,США,2016.0,"(36000000, '$')","['Уилл Смит', 'Эдвард Нортон', 'Кейт Уинслет', 'Майкл Пенья', 'Хелен Миррен', 'Наоми Харрис', 'Кира Найтли', 'Джейкоб Латимор', 'Энн Дауд', 'Лиза Колон-Зайас']",/film/915112/,
Нимфоманка: Часть 1,10.0,7.053,119809.0,Бельгия,2013.0,,"['Шарлотта Генсбур', 'Стэйси Мартин', 'Стеллан Скарсгард', 'Шайа ЛаБаф', 'Кристиан Слэйтер', 'Ума Турман', 'Софи Кеннеди Кларк', 'Йенс Альбинус', 'Николас Бро', 'Фелисити Гилберт']",/film/669260/,
Отец,10.0,7.827,109286.0,США,2020.0,,"['Энтони Хопкинс', 'Оливия Колман', 'Марк Гэтисс', 'Оливия Уильямс', 'Имоджен Путс', 'Руфус Сьюэлл', 'Айеша Дхаркер', 'Роман Зеллер', 'Эднан Кунди', 'Брайан Роджер']",/film/1262160/,
Духless,10.0,6.647,127194.0,Россия,2011.0,"(2800000, '$')",['Саша Бурдо'],/film/395372/,
Магия лунного света,10.0,7.036,112311.0,Франция,2014.0,"(16800000, '$')","['Колин Фёрт', 'Эмма Стоун', 'Айлин Аткинс', 'Марша Гей Харден', 'Хэмиш Линклейтер', 'Саймон Макберни', 'Джеки Уивер', 'Эрика Лирсен', 'Катрин МакКормак', 'Джереми Шамос']",/film/759558/,
Нефть,10.0,7.822,123984.0,США,2007.0,"(25000000, '$')","['Дэниэл Дэй-Льюис', 'Пол Дано', 'Кевин Дж. О’Коннор', 'Киран Хайндс', 'Диллон Фризье', 'Расселл Харвард', 'Сидни МакКаллистер', 'Коллин Фой', 'Дэвид Уиллис', 'Мартин Стрингер']",/film/196604/,
